peak_id,SRR5800657,SRR5800660
peak1,5,5
peak2,8,9
peak3,7,5
peak4,574568,439774
peak5,134123,102022
peak6,377883,270255
peak7,503909,315539
peak8,219395,175269
peak9,134835,102054
peak10,771421,504783
peak11,54,63
peak12,108,147
peak13,21,51
peak14,74,77
peak15,67,77
peak16,76,99
peak17,129,204
peak18,9,24
peak19,274,318
peak20,69,56
peak21,23,18
peak22,16,15
peak23,90,83
peak24,82,36
peak25,17,34
peak26,78,100
peak27,57,117
peak28,98,122
peak29,41,37
peak30,27,18
peak31,6,34
peak32,64,156
peak33,226,259
peak34,39,53
peak35,1,0
peak36,59,81
peak37,64,213
peak38,23,65
peak39,31,66
peak40,59,26
peak41,96,84
peak42,55,22
peak43,20,13
peak44,12,7
peak45,14,10
peak46,44,110
peak47,9,7
peak48,10,15
peak49,5,2
peak50,120,192
peak51,79,220
peak52,31,81
peak53,102,74
peak54,15,5
peak55,13,8
peak56,6,12
peak57,37,52
peak58,13,52
peak59,123,169
peak60,32,68
peak61,17,4
peak62,96,118
peak63,16,14
peak64,55,69
peak65,33,76
peak66,48,79
peak67,17,16
peak68,52,9
peak69,45,25
peak70,38,22
peak71,50,43
peak72,43,25
peak73,121,68
peak74,100,138
peak75,62,42
peak76,33,17
peak77,78,96
peak78,87,103
peak79,89,78
peak80,30,59
peak81,50,61
peak82,31,29
peak83,40,40
peak84,0,31
peak85,110,79
peak86,4,21
peak87,21,6
peak88,130,141
peak89,138,135
peak90,91,104
peak91,35,33
peak92,12,39
peak93,108,123
peak94,227,140
peak95,96,87
peak96,118,102
peak97,48,59
peak98,53,109
peak99,84,65
peak100,25,21
peak101,8,2
peak102,9,6
peak103,11,28
peak104,22,17
peak105,84,136
peak106,2,29
peak107,52,52
peak108,33,27
peak109,33,4
peak110,55,84
peak111,27,35
peak112,20,1
peak113,27,33
peak114,20,50
peak115,70,30
peak116,37,8
peak117,73,89
peak118,16,37
peak119,80,90
peak120,112,129
peak121,51,66
peak122,42,44
peak123,7,38
peak124,45,24
peak125,153,206
peak126,56,60
peak127,142,122
peak128,20,51
peak129,54,66
peak130,11,27
peak131,0,13
peak132,28,23
peak133,51,62
peak134,19,52
peak135,190,200
peak136,56,51
peak137,48,45
peak138,33,22
peak139,17,10
peak140,63,62
peak141,18,57
peak142,36,48
peak143,17,5
peak144,19,8
peak145,51,8
peak146,114,81
peak147,32,57
peak148,20,24
peak149,119,104
peak150,33,35
peak151,10,51
peak152,26,78
peak153,39,37
peak154,44,13
peak155,25,51
peak156,35,28
peak157,17,2
peak158,14,21
peak159,39,55
peak160,22,24
peak161,15,21
peak162,47,56
peak163,25,11
peak164,12,31
peak165,33,20
peak166,19,20
peak167,36,34
peak168,20,10
peak169,23,21
peak170,13,56
peak171,68,53
peak172,25,96
peak173,104,125
peak174,6,22
peak175,77,92
peak176,58,66
peak177,30,15
peak178,12,56
peak179,46,18
peak180,11,29
peak181,57,88
peak182,19,20
peak183,51,20
peak184,51,18
peak185,164,257
peak186,25,28
peak187,35,21
peak188,40,83
peak189,37,57
peak190,23,10
peak191,31,83
peak192,143,59
peak193,31,19
peak194,86,76
peak195,42,10
peak196,33,27
peak197,25,21
peak198,7,25
peak199,28,17
peak200,6,20
peak201,30,22
peak202,31,42
peak203,36,16
peak204,176,144
peak205,87,86
peak206,24,15
peak207,51,33
peak208,76,114
peak209,29,25
peak210,141,94
peak211,21,32
peak212,18,35
peak213,27,24
peak214,35,54
peak215,123,167
peak216,69,89
peak217,25,35
peak218,25,79
peak219,14,15
peak220,44,42
peak221,34,93
peak222,94,35
peak223,73,72
peak224,27,44
peak225,47,5
peak226,84,57
peak227,70,95
peak228,62,125
peak229,39,68
peak230,38,22
peak231,59,93
peak232,44,73
peak233,28,26
peak234,28,40
peak235,16,50
peak236,38,65
peak237,93,69
peak238,76,82
peak239,5,40
peak240,91,51
peak241,21,14
peak242,15,55
peak243,90,74
peak244,74,107
peak245,60,123
peak246,40,64
peak247,116,175
peak248,314,436
peak249,235,178
peak250,59,98
peak251,83,82
peak252,55,62
peak253,40,229
peak254,125,140
peak255,24,65
peak256,134,198
peak257,93,116
peak258,26,14
peak259,195,147
peak260,22,75
peak261,44,66
peak262,16,73
peak263,78,114
peak264,46,63
peak265,211,204
peak266,13,12
peak267,24,104
peak268,47,52
peak269,60,40
peak270,47,60
peak271,88,136
peak272,72,64
peak273,192,234
peak274,15,36
peak275,15,46
peak276,38,57
peak277,199,305
peak278,119,141
peak279,4,38
peak280,37,69
peak281,8,1
peak282,36,67
peak283,161,243
peak284,127,42
peak285,133,177
peak286,91,81
peak287,52,75
peak288,33,96
peak289,4,13
peak290,25,38
peak291,27,21
peak292,8,0
peak293,15,33
peak294,56,105
peak295,23,6
peak296,62,21
peak297,20,67
peak298,38,53
peak299,145,91
peak300,31,66
peak301,2,52
peak302,6,30
peak303,121,53
peak304,34,76
peak305,91,196
peak306,20,57
peak307,21,6
peak308,45,59
peak309,9,48
peak310,11,13
peak311,6,26
peak312,64,52
peak313,65,148
peak314,23,30
peak315,79,49
peak316,134,147
peak317,12,9
peak318,54,120
peak319,67,43
peak320,128,190
peak321,5,26
peak322,30,8
peak323,206,167
peak324,94,91
peak325,69,61
peak326,109,129
peak327,68,98
peak328,103,140
peak329,82,21
peak330,49,64
peak331,34,24
peak332,88,97
peak333,52,121
peak334,65,129
peak335,32,47
peak336,36,11
peak337,36,24
peak338,63,88
peak339,135,166
peak340,46,69
peak341,115,185
peak342,113,146
peak343,18,7
peak344,64,69
peak345,3,37
peak346,75,62
peak347,163,150
peak348,40,36
peak349,142,151
peak350,15,13
peak351,101,105
peak352,31,63
peak353,337,479
peak354,49,37
peak355,47,128
peak356,72,94
peak357,110,130
peak358,49,38
peak359,57,82
peak360,78,88
peak361,86,65
peak362,14,11
peak363,100,140
peak364,67,86
peak365,8,22
peak366,85,128
peak367,47,45
peak368,133,166
