seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
1	199203	200005	803	*	Distal Intergenic	1	185217	195411	10195	2	ENSG00000279457	ENST00000623083	-3792	NA	NA	NA
1	629036	634969	5934	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	0	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	778558	779055	498	*	Promoter (<=1kb)	1	778747	805994	27248	1	ENSG00000237491	ENST00000655765	0	105378580	LINC01409	long intergenic non-protein coding RNA 1409
1	966111	966750	640	*	Promoter (<=1kb)	1	966482	975865	9384	1	ENSG00000187583	ENST00000379410	0	84069	PLEKHN1	pleckstrin homology domain containing N1
1	975927	976619	693	*	Promoter (<=1kb)	1	975205	976641	1437	2	ENSG00000187642	ENST00000479361	22	84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1
1	1000022	1000858	837	*	Promoter (<=1kb)	1	998962	1000172	1211	2	ENSG00000188290	ENST00000428771	0	57801	HES4	hes family bHLH transcription factor 4
1	1024701	1025168	468	*	Intron (ENST00000379370/ENSG00000188157, intron 2 of 35)	1	1020123	1056118	35996	1	ENSG00000188157	ENST00000620552	4578	375790	AGRN	agrin
1	1063891	1064486	596	*	Promoter (<=1kb)	1	1064495	1066274	1780	1	ENSG00000291156	ENST00000433695	-9	100288175	LOC100288175	uncharacterized LOC100288175
1	1070132	1070637	506	*	Distal Intergenic	1	1070967	1074306	3340	2	ENSG00000237330	ENST00000453464	3669	401934	RNF223	ring finger protein 223
1	1073671	1074576	906	*	Promoter (<=1kb)	1	1070967	1074306	3340	2	ENSG00000237330	ENST00000453464	0	401934	RNF223	ring finger protein 223
1	1079360	1080778	1419	*	Distal Intergenic	1	1082146	1084072	1927	2	ENSG00000131591	ENST00000464905	3294	54991	C1orf159	chromosome 1 open reading frame 159
1	1115828	1116535	708	*	Promoter (<=1kb)	1	1081818	1116081	34264	2	ENSG00000131591	ENST00000379339	0	54991	C1orf159	chromosome 1 open reading frame 159
1	1162671	1163042	372	*	Distal Intergenic	1	1167104	1167198	95	1	ENSG00000207730	ENST00000384997	-4062	406984	MIR200B	microRNA 200b
1	1164689	1165106	418	*	Promoter (1-2kb)	1	1167104	1167198	95	1	ENSG00000207730	ENST00000384997	-1998	406984	MIR200B	microRNA 200b
1	1231925	1232234	310	*	Promoter (<=1kb)	1	1216931	1232001	15071	2	ENSG00000078808	ENST00000360001	0	51150	SDF4	stromal cell derived factor 4
1	1344647	1345409	763	*	Intron (ENST00000378891/ENSG00000107404, intron 1 of 14)	1	1341770	1348955	7186	2	ENSG00000107404	ENST00000472445	3546	1855	DVL1	dishevelled segment polarity protein 1
1	1360609	1360885	277	*	Promoter (<=1kb)	1	1352692	1361777	9086	2	ENSG00000162576	ENST00000477278	892	54587	MXRA8	matrix remodeling associated 8
1	1364350	1364570	221	*	Promoter (2-3kb)	1	1352692	1361777	9086	2	ENSG00000162576	ENST00000477278	-2573	54587	MXRA8	matrix remodeling associated 8
1	1375132	1375656	525	*	Promoter (<=1kb)	1	1373730	1375157	1428	2	ENSG00000175756	ENST00000338370	0	54998	AURKAIP1	aurora kinase A interacting protein 1
1	1399291	1399637	347	*	Promoter (<=1kb)	1	1385711	1399335	13625	2	ENSG00000221978	ENST00000400809	0	81669	CCNL2	cyclin L2
1	1433248	1433657	410	*	Promoter (<=1kb)	1	1430550	1434488	3939	2	ENSG00000225285	ENST00000454562	831	NA	NA	NA
1	1692979	1693601	623	*	Promoter (<=1kb)	1	1661478	1692795	31318	2	ENSG00000189339	ENST00000617444	-184	728661	SLC35E2B	solute carrier family 35 member E2B
1	1724239	1724776	538	*	Promoter (<=1kb)	1	1702379	1724357	21979	2	ENSG00000008128	ENST00000404249	0	728642	CDK11A	cyclin dependent kinase 11A
1	1745712	1746846	1135	*	Promoter (<=1kb)	1	1724838	1745919	21082	2	ENSG00000290854	ENST00000647043	0	NA	NA	NA
1	1758751	1759309	559	*	Promoter (<=1kb)	1	1752471	1758575	6105	2	ENSG00000008130	ENST00000342348	-176	65220	NADK	NAD kinase
