seqnames	start	end	width	strand	name	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
7	23465432	23465832	401	*	8932	0	Promoter (2-3kb)	7	23347631	23467926	120296	2	ENSG00000136231	ENST00000468263	2094	10643	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
9	124054684	124055084	401	*	10073	0	Distal Intergenic	9	124031624	124032524	901	2	ENSG00000234921	ENST00000429482	-22160	NA	NA	NA
2	222572343	222572743	401	*	5971	0	Promoter (2-3kb)	2	222567022	222569546	2525	2	ENSG00000116120	ENST00000568928	-2797	10056	FARSB	phenylalanyl-tRNA synthetase subunit beta
3	196135885	196136285	401	*	7642	0	Distal Intergenic	3	196142516	196160893	18378	1	ENSG00000224652	ENST00000457079	-6231	401109	LINC00885	long intergenic non-protein coding RNA 885
3	177478502	177478902	401	*	7512	0	Intron (ENST00000657906/ENSG00000228221, intron 1 of 2)	3	177503303	177503552	250	2	ENSG00000252028	ENST00000516219	24650	106479118	RN7SKP52	RN7SK pseudogene 52
6	11609385	11609785	401	*	8304	0	Promoter (1-2kb)	6	11607552	11607981	430	1	ENSG00000271897	ENST00000607169	1833	NA	NA	NA
2	72138440	72138840	401	*	5619	0	Intron (ENST00000001146/ENSG00000003137, intron 2 of 5)	2	72129393	72143084	13692	2	ENSG00000003137	ENST00000412253	4244	56603	CYP26B1	cytochrome P450 family 26 subfamily B member 1
9	124392868	124393268	401	*	10079	0	Intron (ENST00000259457/ENSG00000136930, intron 5 of 7)	9	124383622	124384656	1035	2	ENSG00000136930	ENST00000478817	-8212	5695	PSMB7	proteasome 20S subunit beta 7
2	222470766	222471166	401	*	5969	0	Intron (ENST00000321276/ENSG00000163082, intron 1 of 4)	2	222452400	222453126	727	2	ENSG00000228670	ENST00000435391	-17640	NA	NA	NA
2	221518328	221518728	401	*	5965	0	Intron (ENST00000281821/ENSG00000116106, intron 3 of 17)	2	221532668	221533008	341	1	ENSG00000226726	ENST00000440241	-13940	106479054	TMEM256P2	transmembrane protein 256 pseudogene 2
6	134537101	134537501	401	*	8650	0	Promoter (2-3kb)	6	134525322	134534967	9646	2	ENSG00000232310	ENST00000666071	-2134	101928304	LINC03002	long intergenic non-protein coding RNA 3002
6	137657502	137657902	401	*	8666	0	Promoter (<=1kb)	6	137657998	137674554	16557	1	ENSG00000230533	ENST00000642830	-96	102723649	LINC03004	long intergenic non-protein coding RNA 3004
20	63222665	63223065	401	*	6458	0	Distal Intergenic	20	63218041	63218502	462	1	ENSG00000273821	ENST00000615354	4624	NA	NA	NA
10	73871937	73872337	401	*	1404	0	Promoter (<=1kb)	10	73815060	73872390	57331	2	ENSG00000148660	ENST00000700394	53	818	CAMK2G	calcium/calmodulin dependent protein kinase II gamma
6	139436360	139436760	401	*	8689	0	Exon (ENST00000650173/ENSG00000226571, exon 6 of 8)	6	139456895	139473444	16550	2	ENSG00000238099	ENST00000655740	36684	645434	LINC01625	long intergenic non-protein coding RNA 1625
7	47763298	47763698	401	*	9062	0	Promoter (1-2kb)	7	47761476	47766772	5297	1	ENSG00000146666	ENST00000412730	1822	84847	LINC00525	long intergenic non-protein coding RNA 525
2	27021375	27021775	401	*	5307	0	5' UTR	2	27014799	27026355	11557	1	ENSG00000084764	ENST00000402218	6576	22924	MAPRE3	microtubule associated protein RP/EB family member 3
14	75459026	75459426	401	*	2973	0	Intron (ENST00000419727/ENSG00000140044, intron 2 of 3)	14	75432134	75470457	38324	1	ENSG00000140044	ENST00000267569	26892	122953	JDP2	Jun dimerization protein 2
12	7068691	7069091	401	*	2194	0	Promoter (1-2kb)	12	7067395	7068530	1136	1	ENSG00000182326	ENST00000497061	1296	716	C1S	complement C1s
3	188817599	188817999	401	*	7583	0	Intron (ENST00000414139/ENSG00000145012, intron 8 of 10)	3	188758007	188876879	118873	1	ENSG00000145012	ENST00000459897	59592	4026	LPP	LIM domain containing preferred translocation partner in lipoma
6	144216168	144216568	401	*	8709	0	Distal Intergenic	6	144200447	144200965	519	2	ENSG00000217027	ENST00000403538	-15203	NA	NA	NA
2	223861394	223861794	401	*	5986	0	Intron (ENST00000650969/ENSG00000286239, intron 12 of 16)	2	223855716	223878688	22973	2	ENSG00000085449	ENST00000462702	16894	57590	WDFY1	WD repeat and FYVE domain containing 1
7	54946311	54946711	401	*	9078	0	Distal Intergenic	7	54933699	54938184	4486	1	ENSG00000218586	ENST00000407916	12612	NA	NA	NA
8	117811103	117811503	401	*	9650	0	Intron (ENST00000378204/ENSG00000182197, intron 8 of 10)	8	117799587	117806902	7316	2	ENSG00000182197	ENST00000684443	-4201	2131	EXT1	exostosin glycosyltransferase 1
17	72339107	72339507	401	*	4305	0	Promoter (<=1kb)	17	72323139	72339547	16409	2	ENSG00000227036	ENST00000581183	40	400619	LINC00511	long intergenic non-protein coding RNA 511
13	98650365	98650765	401	*	2643	0	Distal Intergenic	13	98640814	98641239	426	2	ENSG00000233662	ENST00000430810	-9126	643193	CALM2P4	calmodulin 2 pseudogene 4
7	41579959	41580359	401	*	8991	0	Distal Intergenic	7	41689516	41692564	3049	2	ENSG00000122641	ENST00000464515	112205	3624	INHBA	inhibin subunit beta A
11	104452451	104452851	401	*	2133	0	Intron (ENST00000536529/ENSG00000256422, intron 4 of 4)	11	104561847	104568102	6256	2	ENSG00000256422	ENST00000669770	115251	102723895	LINC02552	long intergenic non-protein coding RNA 2552
11	67508021	67508421	401	*	1914	0	Promoter (<=1kb)	11	67506497	67508162	1666	2	ENSG00000167797	ENST00000301488	0	10263	CDK2AP2	cyclin dependent kinase 2 associated protein 2
17	18946569	18946969	401	*	3970	0	Promoter (2-3kb)	17	18943999	18944073	75	1	ENSG00000212618	ENST00000391316	2570	124904114	LOC124904114	small nucleolar RNA MBII-202
7	22667884	22668284	401	*	8917	0	Promoter (2-3kb)	7	22649960	22665533	15574	2	ENSG00000105889	ENST00000414116	-2351	256227	STEAP1B	STEAP family member 1B
2	219688930	219689330	401	*	5961	0	Promoter (1-2kb)	2	219686987	219714686	27700	1	ENSG00000227308	ENST00000416861	1943	NA	NA	NA
2	18991593	18991993	401	*	5254	0	Intron (ENST00000424895/ENSG00000236204, intron 3 of 3)	2	18986451	19026971	40521	2	ENSG00000236204	ENST00000424895	34978	400945	LINC01376	long intergenic non-protein coding RNA 1376
1	63920507	63920907	401	*	465	0	Intron (ENST00000371079/ENSG00000185483, intron 1 of 8)	1	63843196	63843685	490	2	ENSG00000228056	ENST00000440942	-76822	NA	NA	NA
8	144508049	144508449	401	*	9823	0	Promoter (<=1kb)	8	144509070	144511213	2144	1	ENSG00000167700	ENST00000301327	-621	113655	MFSD3	major facilitator superfamily domain containing 3
5	10691874	10692274	401	*	7834	0	Intron (ENST00000230895/ENSG00000112977, intron 2 of 3)	5	10676096	10676423	328	2	ENSG00000278865	ENST00000623397	-15451	NA	NA	NA
1	85544821	85545221	401	*	492	0	Intron (ENST00000426972/ENSG00000153904, intron 1 of 6)	1	85495431	85521810	26380	2	ENSG00000282057	ENST00000472448	-23011	NA	NA	NA
13	33217998	33218398	401	*	2580	0	Intron (ENST00000628131/ENSG00000236581, intron 2 of 5)	13	33103170	33206006	102837	2	ENSG00000133121	ENST00000399365	-11992	90627	STARD13	StAR related lipid transfer domain containing 13
6	155247580	155247980	401	*	8751	0	Intron (ENST00000461783/ENSG00000146426, intron 21 of 28)	6	155252919	155256686	3768	1	ENSG00000146426	ENST00000537845	-4939	26230	TIAM2	TIAM Rac1 associated GEF 2
17	72407452	72407852	401	*	4308	0	Promoter (<=1kb)	17	72404768	72407568	2801	2	ENSG00000227036	ENST00000650600	0	400619	LINC00511	long intergenic non-protein coding RNA 511
5	126354240	126354640	401	*	8014	0	Intron (ENST00000651847/ENSG00000248752, intron 1 of 15)	5	126360132	126493608	133477	1	ENSG00000155324	ENST00000513040	-5492	65983	GRAMD2B	GRAM domain containing 2B
6	155126974	155127374	401	*	8747	0	Promoter (1-2kb)	6	155129172	155257662	128491	1	ENSG00000146426	ENST00000360366	-1798	26230	TIAM2	TIAM Rac1 associated GEF 2
11	64876877	64877277	401	*	1797	0	Promoter (<=1kb)	11	64854612	64877917	23306	2	ENSG00000110047	ENST00000421510	640	10938	EHD1	EH domain containing 1
17	72151527	72151927	401	*	4304	0	Intron (ENST00000674828/ENSG00000288605, intron 1 of 3)	17	72090459	72141780	51322	2	ENSG00000234899	ENST00000414600	-9747	400618	SOX9-AS1	SOX9 antisense RNA 1
8	126375395	126375795	401	*	9706	0	Distal Intergenic	8	126325467	126329535	4069	1	ENSG00000244791	ENST00000658969	49928	101927657	LOC101927657	uncharacterized LOC101927657
12	46455783	46456183	401	*	2263	0	Exon (ENST00000551503/ENSG00000257261, exon 4 of 4)	12	46384289	46494474	110186	2	ENSG00000257496	ENST00000689808	38291	NA	NA	NA
3	185537401	185537801	401	*	7555	0	Intron (ENST00000296252/ENSG00000163898, intron 1 of 9)	3	185519144	185533660	14517	2	ENSG00000163898	ENST00000452897	-3741	200879	LIPH	lipase H
12	6962172	6962572	401	*	2193	0	Promoter (<=1kb)	12	6963226	6964447	1222	1	ENSG00000257084	ENST00000537269	-654	105369635	MIR200CHG	MIR200C and MIR141 host gene
1	31575630	31576030	401	*	231	0	Promoter (<=1kb)	1	31571585	31575573	3989	2	ENSG00000229167	ENST00000435872	-57	NA	NA	NA
13	98416338	98416738	401	*	2634	0	Intron (ENST00000595437/ENSG00000152767, intron 16 of 27)	13	98404071	98425498	21428	1	ENSG00000152767	ENST00000457029	12267	10160	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
3	186616991	186617391	401	*	7568	0	Exon (ENST00000411641/ENSG00000145192, exon 4 of 7)	3	186613085	186617989	4905	1	ENSG00000145192	ENST00000478441	3906	197	AHSG	alpha 2-HS glycoprotein
16	66580582	66580982	401	*	3664	0	Promoter (<=1kb)	16	66579983	66580716	734	2	ENSG00000260650	ENST00000568430	0	NA	NA	NA
6	138465000	138465400	401	*	8682	0	Promoter (<=1kb)	6	138464099	138464383	285	1	ENSG00000274594	ENST00000619829	901	NA	NA	NA
7	29109782	29110182	401	*	8971	0	Promoter (2-3kb)	7	29066042	29112921	46880	2	ENSG00000106066	ENST00000448959	2739	54504	CPVL	carboxypeptidase vitellogenic like
17	4789867	4790267	401	*	3889	0	Promoter (<=1kb)	17	4788964	4790589	1626	1	ENSG00000182327	ENST00000331264	903	388323	GLTPD2	glycolipid transfer protein domain containing 2
9	137188659	137189059	401	*	10233	0	Promoter (<=1kb)	9	137188660	137190370	1711	1	ENSG00000176101	ENST00000459860	0	8636	SSNA1	SS nuclear autoantigen 1
1	235079517	235079917	401	*	1143	0	Distal Intergenic	1	235065479	235074220	8742	2	ENSG00000280587	ENST00000628622	-5297	731656	LINC01348	long intergenic non-protein coding RNA 1348
2	223799462	223799862	401	*	5984	0	Intron (ENST00000699384/ENSG00000152056, intron 1 of 10)	2	223758218	223777867	19650	2	ENSG00000152056	ENST00000699390	-21595	130340	AP1S3	adaptor related protein complex 1 subunit sigma 3
6	14732992	14733392	401	*	8321	0	Intron (ENST00000689305/ENSG00000234261, intron 2 of 2)	6	14660285	14777608	117324	2	ENSG00000234261	ENST00000689305	44216	NA	NA	NA
7	26515501	26515901	401	*	8949	0	Distal Intergenic	7	26538378	26541048	2671	1	ENSG00000280255	ENST00000623092	-22477	NA	NA	NA
12	1605941	1606341	401	*	2181	0	Intron (ENST00000539198/ENSG00000111186, intron 1 of 3)	12	1616660	1631323	14664	1	ENSG00000111186	ENST00000538854	-10319	81029	WNT5B	Wnt family member 5B
2	222842516	222842916	401	*	5977	0	Distal Intergenic	2	222860942	222942222	81281	1	ENSG00000123983	ENST00000392066	-18026	2181	ACSL3	acyl-CoA synthetase long chain family member 3
17	4521151	4521551	401	*	3880	0	Intron (ENST00000329078/ENSG00000183018, intron 2 of 12)	17	4533032	4537798	4767	1	ENSG00000183018	ENST00000571386	-11481	124976	SPNS2	SPNS lysolipid transporter 2, sphingosine-1-phosphate
1	3543322	3543722	401	*	34	0	Intron (ENST00000356575/ENSG00000162591, intron 4 of 36)	1	3489920	3531448	41529	2	ENSG00000162591	ENST00000294599	-11874	1953	MEGF6	multiple EGF like domains 6
16	57341696	57342096	401	*	3632	0	Distal Intergenic	16	57332379	57332599	221	2	ENSG00000271456	ENST00000604358	-9097	NA	NA	NA
1	91795951	91796351	401	*	511	0	Intron (ENST00000533089/ENSG00000069702, intron 2 of 19)	1	91727777	91766432	38656	2	ENSG00000069702	ENST00000468996	-29519	7049	TGFBR3	transforming growth factor beta receptor 3
7	130996878	130997278	401	*	9381	0	Intron (ENST00000642963/ENSG00000231721, intron 2 of 6)	7	131042836	131052550	9715	2	ENSG00000231721	ENST00000416999	55272	378805	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript
3	194488437	194488837	401	*	7603	0	Promoter (<=1kb)	3	194487854	194507538	19685	1	ENSG00000233058	ENST00000657621	583	NA	NA	NA
2	237662674	237663074	401	*	6089	0	Intron (ENST00000308482/ENSG00000124831, intron 1 of 23)	2	237683404	237684473	1070	1	ENSG00000124831	ENST00000489295	-20330	9208	LRRFIP1	LRR binding FLII interacting protein 1
1	233635903	233636303	401	*	1115	0	Promoter (<=1kb)	1	233636524	233666990	30467	1	ENSG00000135750	ENST00000487728	-221	3775	KCNK1	potassium two pore domain channel subfamily K member 1
1	109570471	109570871	401	*	605	0	Intron (ENST00000369851/ENSG00000065135, intron 1 of 8)	1	109591534	109591640	107	2	ENSG00000206832	ENST00000384105	20769	NA	NA	NA
3	177602715	177603115	401	*	7513	0	Intron (ENST00000442937/ENSG00000228221, intron 2 of 3)	3	177617590	177752094	134505	1	ENSG00000228221	ENST00000445673	-14475	100505566	LINC00578	long intergenic non-protein coding RNA 578
