seqnames	start	end	width	strand	name	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
9	124054683	124055083	401	*	33007	0	Distal Intergenic	9	124031624	124032524	901	2	ENSG00000234921	ENST00000429482	-22159	NA	NA	NA
2	222572343	222572743	401	*	18103	0	Promoter (2-3kb)	2	222567022	222569546	2525	2	ENSG00000116120	ENST00000568928	-2797	10056	FARSB	phenylalanyl-tRNA synthetase subunit beta
2	222470766	222471166	401	*	18101	0	Intron (ENST00000321276/ENSG00000163082, intron 1 of 4)	2	222452400	222453126	727	2	ENSG00000228670	ENST00000435391	-17640	NA	NA	NA
2	72138381	72138781	401	*	16410	0	Intron (ENST00000001146/ENSG00000003137, intron 2 of 5)	2	72129393	72143084	13692	2	ENSG00000003137	ENST00000412253	4303	56603	CYP26B1	cytochrome P450 family 26 subfamily B member 1
3	177478488	177478888	401	*	22197	0	Intron (ENST00000657906/ENSG00000228221, intron 1 of 2)	3	177503303	177503552	250	2	ENSG00000252028	ENST00000516219	24664	106479118	RN7SKP52	RN7SK pseudogene 52
3	196135896	196136296	401	*	22679	0	Distal Intergenic	3	196142516	196160893	18378	1	ENSG00000224652	ENST00000457079	-6220	401109	LINC00885	long intergenic non-protein coding RNA 885
6	11609399	11609799	401	*	26300	0	Promoter (1-2kb)	6	11607552	11607981	430	1	ENSG00000271897	ENST00000607169	1847	NA	NA	NA
6	137657513	137657913	401	*	27745	0	Promoter (<=1kb)	6	137657998	137674554	16557	1	ENSG00000230533	ENST00000642830	-85	102723649	LINC03004	long intergenic non-protein coding RNA 3004
6	134537112	134537512	401	*	27689	0	Promoter (2-3kb)	6	134525322	134534967	9646	2	ENSG00000232310	ENST00000666071	-2145	101928304	LINC03002	long intergenic non-protein coding RNA 3002
2	223861401	223861801	401	*	18154	0	Intron (ENST00000650969/ENSG00000286239, intron 12 of 16)	2	223855716	223878688	22973	2	ENSG00000085449	ENST00000462702	16887	57590	WDFY1	WD repeat and FYVE domain containing 1
8	118112953	118113353	401	*	31431	0	Promoter (1-2kb)	8	117794490	118111826	317337	2	ENSG00000182197	ENST00000378204	-1127	2131	EXT1	exostosin glycosyltransferase 1
17	72339075	72339475	401	*	13157	0	Promoter (<=1kb)	17	72323139	72339547	16409	2	ENSG00000227036	ENST00000581183	72	400619	LINC00511	long intergenic non-protein coding RNA 511
6	139436393	139436793	401	*	27796	0	Exon (ENST00000650173/ENSG00000226571, exon 6 of 8)	6	139456895	139473444	16550	2	ENSG00000238099	ENST00000655740	36651	645434	LINC01625	long intergenic non-protein coding RNA 1625
6	144216169	144216569	401	*	27855	0	Distal Intergenic	6	144200447	144200965	519	2	ENSG00000217027	ENST00000403538	-15204	NA	NA	NA
2	18991542	18991942	401	*	15354	0	Intron (ENST00000424895/ENSG00000236204, intron 3 of 3)	2	18986451	19026971	40521	2	ENSG00000236204	ENST00000424895	35029	400945	LINC01376	long intergenic non-protein coding RNA 1376
13	98650342	98650742	401	*	8926	0	Distal Intergenic	13	98640814	98641239	426	2	ENSG00000233662	ENST00000430810	-9103	643193	CALM2P4	calmodulin 2 pseudogene 4
7	47763298	47763698	401	*	29091	0	Promoter (1-2kb)	7	47761476	47766772	5297	1	ENSG00000146666	ENST00000412730	1822	84847	LINC00525	long intergenic non-protein coding RNA 525
7	23465442	23465842	401	*	28568	0	Promoter (2-3kb)	7	23347631	23467926	120296	2	ENSG00000136231	ENST00000468263	2084	10643	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
14	75459027	75459427	401	*	9893	0	Intron (ENST00000419727/ENSG00000140044, intron 2 of 3)	14	75432134	75470457	38324	1	ENSG00000140044	ENST00000267569	26893	122953	JDP2	Jun dimerization protein 2
