"","seqnames","start","end","width","strand","Conc","Conc_treated","Conc_untreated","Fold","p.value","FDR"
"8932","7",23465432,23465832,401,"*",5.69658660996614,6.69658660996614,0,8.37039789949252,3.84613816000592e-14,3.81729212380588e-10
"10073","9",124054684,124055084,401,"*",5.46694886543373,6.46694886543373,0,8.14788704023291,2.37327622685396e-13,1.13846142680436e-09
"5971","2",222572343,222572743,401,"*",5.45014384851034,6.45014384851034,0,8.12297920699665,3.56001242634689e-13,1.13846142680436e-09
"7642","3",196135885,196136285,401,"*",5.40114766659566,6.40114766659566,0,8.07747385982184,4.7299181987764e-13,1.13846142680436e-09
"7512","3",177478502,177478902,401,"*",5.28108030922898,6.28108030922898,0,7.97545821244558,6.82010176368851e-13,1.13846142680436e-09
"8304","6",11609385,11609785,401,"*",5.33670971053699,6.33670971053699,0,8.01909536181953,7.06762010655289e-13,1.13846142680436e-09
"5619","2",72138440,72138840,401,"*",5.37190341196541,6.37190341196541,0,8.0333285922571,9.89076360647659e-13,1.13846142680436e-09
"6842","22",38705398,38705798,401,"*",5.35965082559872,0,6.35965082559872,-7.97724388350698,1.1054763350405e-12,1.13846142680436e-09
"10079","9",124392868,124393268,401,"*",5.53508509418591,6.31952461816963,3.68604481638675,2.59810098423845,1.1208067907633e-12,1.13846142680436e-09
"5969","2",222470766,222471166,401,"*",5.40754921755008,6.40754921755008,0,8.05638566927863,1.14706440987844e-12,1.13846142680436e-09
"5965","2",221518328,221518728,401,"*",5.23712506892926,6.23712506892926,0,7.92262627655028,1.37446477890112e-12,1.14645423101862e-09
"8650","6",134537101,134537501,401,"*",5.2227431526144,6.2227431526144,0,7.91079621834408,1.38614113574039e-12,1.14645423101862e-09
"8666","6",137657502,137657902,401,"*",5.25369095113203,6.25369095113203,0,7.92943127666085,1.60316389688606e-12,1.21671245722531e-09
"6458","20",63222665,63223065,401,"*",5.09587526751926,5.93640324493919,2.83948254207454,3.06083724970497,1.71626946107348e-12,1.21671245722531e-09
"1404","10",73871937,73872337,401,"*",5.31914399461361,6.31914399461361,0,7.97230137474201,2.3122283020179e-12,1.39179030188843e-09
"8689","6",139436360,139436760,401,"*",5.13590911467825,6.13590911467825,0,7.82944145375373,2.36136045508152e-12,1.39179030188843e-09
"6831","22",38348168,38348568,401,"*",5.78436860950043,4.31093505302165,6.49795516510438,-2.15677195726372,2.45942472586468e-12,1.39179030188843e-09
"9062","7",47763298,47763698,401,"*",5.11342274423815,6.11342274423815,0,7.81138460445712,2.52415369612008e-12,1.39179030188843e-09
