seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
6	107819575	107819815	241	*	Intron (ENST00000369020/ENSG00000146285, intron 1 of 7)	6	107740065	107824286	84222	2	ENSG00000146285	ENST00000426221	4471	256380	SCML4	Scm polycomb group protein like 4
6	110180215	110180421	207	*	Promoter (<=1kb)	6	110180421	110254275	73855	1	ENSG00000168438	ENST00000368930	0	51362	CDC40	cell division cycle 40
1	152141891	152142210	320	*	Intron (ENST00000628080/ENSG00000293250, intron 1 of 1)	1	152124438	152125080	643	2	ENSG00000233792	ENST00000431423	-16811	NA	NA	NA
6	110819905	110820129	225	*	Distal Intergenic	6	110813159	110815958	2800	2	ENSG00000155111	ENST00000497709	-3947	23097	CDK19	cyclin dependent kinase 19
6	113067853	113068135	283	*	Intron (ENST00000670062/ENSG00000288560, intron 5 of 6)	6	113010937	113011415	479	1	ENSG00000218490	ENST00000407590	56916	106479046	FCF1P10	FCF1 pseudogene 10
6	113559028	113559271	244	*	Distal Intergenic	6	113581501	113581947	447	1	ENSG00000218208	ENST00000402798	-22230	728590	RPS27AP11	RPS27A pseudogene 11
6	113909019	113909384	366	*	Intron (ENST00000658538/ENSG00000175967, intron 1 of 2)	6	113904138	113921642	17505	1	ENSG00000175967	ENST00000314481	4881	285759	LINC02880	long intergenic non-protein coding RNA 2880
6	114863553	114863761	209	*	Intron (ENST00000656833/ENSG00000287097, intron 1 of 2)	6	114866873	114866976	104	2	ENSG00000251882	ENST00000516073	3215	106479776	RNU6-475P	RNA, U6 small nuclear 475, pseudogene
6	117169859	117170139	281	*	Distal Intergenic	6	117262243	117264817	2575	2	ENSG00000287253	ENST00000666126	94678	105377964	LOC105377964	uncharacterized LOC105377964
6	117309667	117309889	223	*	Intron (ENST00000368507/ENSG00000047936, intron 41 of 43)	6	117301455	117301758	304	1	ENSG00000222713	ENST00000410781	8212	106479117	RN7SKP51	RN7SK pseudogene 51
6	118800721	118800931	211	*	Distal Intergenic	6	118782848	118783131	284	1	ENSG00000225549	ENST00000404721	17873	NA	NA	NA
6	118961982	118962415	434	*	Promoter (1-2kb)	6	118959830	118963920	4091	2	ENSG00000111879	ENST00000482219	1505	79632	FAM184A	family with sequence similarity 184 member A
6	119467632	119467868	237	*	Intron (ENST00000692359/ENSG00000287100, intron 1 of 3)	6	119349935	119351537	1603	1	ENSG00000287100	ENST00000702292	117697	NA	NA	NA
6	121487479	121487775	297	*	Distal Intergenic	6	121478273	121479908	1636	2	ENSG00000219784	ENST00000406666	-7571	NA	NA	NA
6	121691295	121691533	239	*	Distal Intergenic	6	121682925	121684272	1348	1	ENSG00000217139	ENST00000403062	8370	100129422	LOC100129422	LSM14A, SCD6 homolog A (S. cerevisiae) pseudogene
6	121817322	121817548	227	*	Distal Intergenic	6	121857813	121870910	13098	1	ENSG00000289871	ENST00000701253	-40265	NA	NA	NA
6	122918063	122918324	262	*	Distal Intergenic	6	122859678	122859988	311	2	ENSG00000232362	ENST00000440646	-58075	NA	NA	NA
1	153238515	153238726	212	*	Distal Intergenic	1	153225080	153226006	927	1	ENSG00000230779	ENST00000445179	13435	391102	RPLP0P4	ribosomal protein lateral stalk subunit P0 pseudogene 4
6	127051824	127052177	354	*	Intron (ENST00000651326/ENSG00000293110, intron 2 of 6)	6	127118671	127199481	80811	1	ENSG00000146374	ENST00000356698	-66494	84870	RSPO3	R-spondin 3
6	127539229	127539499	271	*	Intron (ENST00000498112/ENSG00000184530, intron 3 of 4)	6	127519455	127578707	59253	1	ENSG00000184530	ENST00000498112	19774	352999	C6orf58	chromosome 6 open reading frame 58
6	130483062	130483491	430	*	Distal Intergenic	6	130437117	130443061	5945	1	ENSG00000164484	ENST00000392429	45945	114801	TMEM200A	transmembrane protein 200A
6	131102271	131102711	441	*	Distal Intergenic	6	131125625	131125922	298	1	ENSG00000288977	ENST00000690501	-22914	NA	NA	NA
6	132964394	132964637	244	*	Intron (ENST00000670829/ENSG00000231023, intron 1 of 2)	6	132954447	133106445	151999	1	ENSG00000231023	ENST00000668229	9947	285735	LINC00326	long intergenic non-protein coding RNA 326
6	133646472	133646715	244	*	Intron (ENST00000607033/ENSG00000227954, intron 4 of 8)	6	133676729	133677429	701	2	ENSG00000218213	ENST00000406512	30714	NA	NA	NA
6	133764248	133764482	235	*	Intron (ENST00000607033/ENSG00000227954, intron 3 of 8)	6	133537174	133767608	230435	2	ENSG00000227954	ENST00000606292	3126	100507308	TARID	TCF21 antisense RNA inducing promoter demethylation
1	153647309	153647567	259	*	Distal Intergenic	1	153638342	153644385	6044	1	ENSG00000160679	ENST00000368686	8967	26097	CHTOP	chromatin target of PRMT1
6	136313113	136313253	141	*	Distal Intergenic	6	136317961	136318236	276	1	ENSG00000216519	ENST00000403956	-4708	NA	NA	NA
6	136716396	136716659	264	*	Intron (ENST00000359015/ENSG00000197442, intron 2 of 29)	6	136784045	136786402	2358	1	ENSG00000286646	ENST00000661159	-67386	NA	NA	NA
6	137657410	137657942	533	*	Promoter (<=1kb)	6	137657998	137674554	16557	1	ENSG00000230533	ENST00000642830	-56	102723649	LINC03004	long intergenic non-protein coding RNA 3004
6	137688590	137688786	197	*	Exon (ENST00000638039/ENSG00000230533, exon 4 of 5)	6	137693068	137700415	7348	1	ENSG00000283265	ENST00000637996	-4282	NA	NA	NA
6	137756911	137757109	199	*	Intron (ENST00000635999/ENSG00000230533, intron 2 of 2)	6	137730170	137739087	8918	2	ENSG00000234956	ENST00000668179	-17824	100507406	LINC02539	long intergenic non-protein coding RNA 2539
6	138188748	138188924	177	*	Intron (ENST00000251691/ENSG00000112379, intron 2 of 33)	6	138161939	138344663	182725	1	ENSG00000112379	ENST00000251691	26809	57221	ARFGEF3	ARFGEF family member 3
6	138691764	138691969	206	*	Promoter (<=1kb)	6	138692548	138697288	4741	1	ENSG00000225177	ENST00000432673	-579	124900217	LOC124900217	collagen alpha-1(III) chain
6	138971259	138971400	142	*	Intron (ENST00000450536/ENSG00000135597, intron 1 of 19)	6	138904861	138987640	82780	2	ENSG00000135597	ENST00000529597	16240	85021	REPS1	RALBP1 associated Eps domain containing 1
6	139708786	139709088	303	*	Intron (ENST00000644936/ENSG00000231426, intron 1 of 2)	6	139705620	139860476	154857	1	ENSG00000231426	ENST00000647420	3166	100132735	FILNC1	FOXO induced long non-coding RNA 1
6	140062301	140062534	234	*	Intron (ENST00000456896/ENSG00000236013, intron 1 of 3)	6	140075158	140093721	18564	1	ENSG00000236013	ENST00000657358	-12624	100507477	LINC02941	long intergenic non-protein coding RNA 2941
6	140858577	140858839	263	*	Promoter (<=1kb)	6	140845996	140858830	12835	2	ENSG00000234147	ENST00000683183	0	NA	NA	NA
6	142242155	142242364	210	*	Distal Intergenic	6	142251847	142259632	7786	2	ENSG00000237494	ENST00000426166	17268	NA	NA	NA
6	142635087	142635299	213	*	Promoter (2-3kb)	6	142528327	142637775	109449	2	ENSG00000236366	ENST00000635073	2476	153910	LOC153910	uncharacterized LOC153910
6	146968294	146968530	237	*	Intron (ENST00000662679/ENSG00000233452, intron 4 of 10)	6	146864448	146957479	93032	2	ENSG00000233452	ENST00000669025	-10815	729178	STXBP5-AS1	STXBP5 antisense RNA 1
6	149075999	149076314	316	*	3' UTR	6	149066176	149074250	8075	1	ENSG00000111962	ENST00000466695	9823	10090	UST	uronyl 2-sulfotransferase
6	149688008	149688233	226	*	Intron (ENST00000543571/ENSG00000131023, intron 3 of 7)	6	149675696	149701963	26268	2	ENSG00000131023	ENST00000542747	13730	9113	LATS1	large tumor suppressor kinase 1
6	149896109	149896255	147	*	Promoter (<=1kb)	6	149883375	149896059	12685	2	ENSG00000164520	ENST00000532335	-50	135250	RAET1E	retinoic acid early transcript 1E
6	150229913	150230038	126	*	Intron (ENST00000361131/ENSG00000198729, intron 3 of 3)	6	150164584	150164686	103	1	ENSG00000238594	ENST00000459301	65329	124901527	LOC124901527	small nucleolar RNA U13
6	154962974	154963190	217	*	Intron (ENST00000461783/ENSG00000146426, intron 3 of 28)	6	154995315	155257723	262409	1	ENSG00000146426	ENST00000682666	-32125	26230	TIAM2	TIAM Rac1 associated GEF 2
6	155162808	155163156	349	*	Intron (ENST00000461783/ENSG00000146426, intron 9 of 28)	6	155149121	155257190	108070	1	ENSG00000146426	ENST00000528391	13687	26230	TIAM2	TIAM Rac1 associated GEF 2
6	156949144	156949447	304	*	Intron (ENST00000346085/ENSG00000049618, intron 6 of 20)	6	156935545	157072575	137031	1	ENSG00000049618	ENST00000637887	13599	57492	ARID1B	AT-rich interaction domain 1B
6	157063335	157063697	363	*	Promoter (2-3kb)	6	157060632	157061587	956	1	ENSG00000288910	ENST00000688913	2703	NA	NA	NA
6	157187308	157187679	372	*	Intron (ENST00000346085/ENSG00000049618, intron 14 of 20)	6	157193471	157208695	15225	1	ENSG00000049618	ENST00000636227	-5792	57492	ARID1B	AT-rich interaction domain 1B
1	154855352	154855624	273	*	Intron (ENST00000271915/ENSG00000143603, intron 1 of 7)	1	154707426	154859843	152418	2	ENSG00000143603	ENST00000361147	4219	3782	KCNN3	potassium calcium-activated channel subfamily N member 3
6	158560701	158561307	607	*	Promoter (<=1kb)	6	158560091	158635429	75339	1	ENSG00000146433	ENST00000684151	610	57583	TMEM181	transmembrane protein 181
6	164396652	164396845	194	*	Distal Intergenic	6	164346489	164348644	2156	2	ENSG00000226739	ENST00000434356	-48008	NA	NA	NA
6	166342693	166343010	318	*	Promoter (<=1kb)	6	166342638	166343903	1266	1	ENSG00000286760	ENST00000685213	55	100289495	LOC100289495	uncharacterized LOC100289495
6	169570904	169571153	250	*	Intron (ENST00000648086/ENSG00000285733, intron 5 of 7)	6	169457212	169649233	192022	2	ENSG00000184465	ENST00000479310	78080	253769	WDR27	WD repeat domain 27
6	169618912	169619127	216	*	Intron (ENST00000648086/ENSG00000285733, intron 3 of 7)	6	169457212	169649233	192022	2	ENSG00000184465	ENST00000479310	30106	253769	WDR27	WD repeat domain 27
6	170246395	170246936	542	*	Intron (ENST00000701993/ENSG00000230960, intron 1 of 2)	6	170254334	170262569	8236	2	ENSG00000230960	ENST00000452071	15633	154449	LOC154449	uncharacterized LOC154449
7	321206	321416	211	*	Distal Intergenic	7	329776	333172	3397	2	ENSG00000287342	ENST00000670013	11756	105375118	LOC105375118	uncharacterized LOC105375118
7	906881	907025	145	*	Promoter (1-2kb)	7	897910	905616	7707	2	ENSG00000105963	ENST00000478000	-1265	11033	ADAP1	ArfGAP with dual PH domains 1
7	1001659	1003658	2000	*	Intron (ENST00000357429/ENSG00000146540, intron 3 of 4)	7	986657	988804	2148	1	ENSG00000073067	ENST00000415893	15002	54905	CYP2W1	cytochrome P450 family 2 subfamily W member 1
7	1046960	1047211	252	*	Promoter (2-3kb)	7	1044605	1045816	1212	1	ENSG00000164849	ENST00000481403	2355	115330	GPR146	G protein-coupled receptor 146
7	1156746	1156924	179	*	Promoter (<=1kb)	7	1152906	1157732	4827	2	ENSG00000178381	ENST00000574135	808	90637	ZFAND2A	zinc finger AN1-type containing 2A
7	1364445	1364697	253	*	Distal Intergenic	7	1428465	1437611	9147	2	ENSG00000164877	ENST00000493998	72914	79778	MICALL2	MICAL like 2
7	2633004	2633210	207	*	Promoter (<=1kb)	7	2632156	2664800	32645	1	ENSG00000136295	ENST00000407643	848	80727	TTYH3	tweety family member 3
7	2774174	2774765	592	*	Intron (ENST00000433945/ENSG00000174945, intron 1 of 1)	7	2764608	2775500	10893	1	ENSG00000174945	ENST00000433945	9566	155185	AMZ1	archaelysin family metallopeptidase 1
1	155189372	155191609	2238	*	Promoter (1-2kb)	1	155185827	155188351	2525	2	ENSG00000185499	ENST00000462317	-1021	4582	MUC1	mucin 1, cell surface associated
7	5327566	5327766	201	*	Promoter (1-2kb)	7	5324247	5325574	1328	2	ENSG00000182095	ENST00000497663	-1992	84629	TNRC18	trinucleotide repeat containing 18
7	5766422	5766706	285	*	Intron (ENST00000389902/ENSG00000011275, intron 1 of 16)	7	5622695	5761138	138444	2	ENSG00000011275	ENST00000389900	-5284	54476	RNF216	ring finger protein 216
7	6084904	6085057	154	*	Intron (ENST00000436915/ENSG00000231704, intron 2 of 2)	7	6081671	6093085	11415	1	ENSG00000231704	ENST00000428901	3233	NA	NA	NA
7	6284870	6285014	145	*	Distal Intergenic	7	6187064	6272644	85581	2	ENSG00000008256	ENST00000482460	-12226	9265	CYTH3	cytohesin 3
7	6392833	6393133	301	*	Promoter (1-2kb)	7	6391458	6402502	11045	1	ENSG00000136238	ENST00000497741	1375	5879	RAC1	Rac family small GTPase 1
1	155324993	155325278	286	*	Promoter (<=1kb)	1	155325243	155326884	1642	1	ENSG00000160753	ENST00000473331	0	23623	RUSC1	RUN and SH3 domain containing 1
7	6576398	6576658	261	*	Promoter (<=1kb)	7	6577434	6588931	11498	1	ENSG00000136247	ENST00000405731	-776	55146	ZDHHC4	zinc finger DHHC-type palmitoyltransferase 4
7	7681365	7681630	266	*	Intron (ENST00000493246/ENSG00000219545, intron 3 of 3)	7	7636518	7718607	82090	2	ENSG00000106399	ENST00000223129	36977	6119	RPA3	replication protein A3
7	7762224	7762487	264	*	Intron (ENST00000463725/ENSG00000219545, intron 3 of 4)	7	7772361	7879223	106863	1	ENSG00000219545	ENST00000406829	-9874	729852	UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1
1	155562029	155562234	206	*	Promoter (<=1kb)	1	155562073	155563944	1872	1	ENSG00000235919	ENST00000452809	0	645676	ASH1L-AS1	ASH1L antisense RNA 1
7	8260951	8261372	422	*	Promoter (<=1kb)	7	8113309	8262052	148744	2	ENSG00000003147	ENST00000396675	680	3382	ICA1	islet cell autoantigen 1
7	10742331	10742560	230	*	Intron (ENST00000634803/ENSG00000283117, intron 1 of 2)	7	10449820	10779944	330125	2	ENSG00000283117	ENST00000634803	37384	79150	MGC4859	uncharacterized LOC79150
7	10889204	10889539	336	*	Distal Intergenic	7	10901978	10902074	97	1	ENSG00000201774	ENST00000364904	-12439	NA	NA	NA
7	11393382	11393581	200	*	Intron (ENST00000445839/ENSG00000230333, intron 3 of 3)	7	11406955	11414078	7124	1	ENSG00000230435	ENST00000425837	-13374	NA	NA	NA
7	12899244	12899427	184	*	Intron (ENST00000639998/ENSG00000229618, intron 3 of 7)	7	12876684	12876946	263	1	ENSG00000222974	ENST00000411042	22560	NA	NA	NA
7	13017670	13018006	337	*	Intron (ENST00000639998/ENSG00000229618, intron 3 of 7)	7	13101391	13102389	999	1	ENSG00000229618	ENST00000443947	-83385	NA	NA	NA
7	13077652	13077885	234	*	Intron (ENST00000639998/ENSG00000229618, intron 3 of 7)	7	13101391	13102389	999	1	ENSG00000229618	ENST00000443947	-23506	NA	NA	NA
7	13880936	13881153	218	*	Distal Intergenic	7	13871856	13872513	658	1	ENSG00000213875	ENST00000436455	9080	NA	NA	NA
7	16129669	16129880	212	*	Intron (ENST00000407010/ENSG00000214960, intron 9 of 9)	7	16208945	16209265	321	1	ENSG00000224683	ENST00000415878	-79065	100271510	RPL36AP29	ribosomal protein L36a pseudogene 29
7	16346400	16346580	181	*	Intron (ENST00000407010/ENSG00000214960, intron 3 of 9)	7	16276577	16301466	24890	2	ENSG00000214960	ENST00000479493	-44934	729920	CRPPA	CDP-L-ribitol pyrophosphorylase A
7	17439760	17439938	179	*	Intron (ENST00000637807/ENSG00000283321, intron 10 of 11)	7	17434477	17460672	26196	2	ENSG00000236039	ENST00000439046	20734	101927630	LINC02889	long intergenic non-protein coding RNA 2889
7	17844699	17844933	235	*	Intron (ENST00000428135/ENSG00000071189, intron 12 of 25)	7	17793764	17821697	27934	2	ENSG00000071189	ENST00000496855	-23002	23161	SNX13	sorting nexin 13
7	18013794	18014087	294	*	Distal Intergenic	7	18000290	18000879	590	2	ENSG00000280340	ENST00000624307	-12915	NA	NA	NA
7	18515162	18515298	137	*	Intron (ENST00000417496/ENSG00000048052, intron 4 of 12)	7	18509313	18666979	157667	1	ENSG00000048052	ENST00000524023	5849	9734	HDAC9	histone deacetylase 9
7	20668647	20669018	372	*	Intron (ENST00000404938/ENSG00000004846, intron 14 of 27)	7	20647422	20755624	108203	1	ENSG00000004846	ENST00000258738	21225	340273	ABCB5	ATP binding cassette subfamily B member 5
7	21580164	21580566	403	*	Intron (ENST00000409508/ENSG00000105877, intron 8 of 81)	7	21561091	21570716	9626	1	ENSG00000105877	ENST00000496218	19073	8701	DNAH11	dynein axonemal heavy chain 11
7	22174269	22174428	160	*	Intron (ENST00000665637/ENSG00000136237, intron 11 of 25)	7	22157864	22193744	35881	2	ENSG00000136237	ENST00000451559	19316	9771	RAPGEF5	Rap guanine nucleotide exchange factor 5
7	22485318	22485533	216	*	Intron (ENST00000406890/ENSG00000105889, intron 4 of 4)	7	22419444	22500177	80734	2	ENSG00000105889	ENST00000406890	14644	256227	STEAP1B	STEAP family member 1B
7	22583373	22583510	138	*	Intron (ENST00000439708/ENSG00000105889, intron 1 of 3)	7	22589698	22602536	12839	1	ENSG00000232949	ENST00000658234	-6188	NA	NA	NA
7	22698085	22698362	278	*	Intron (ENST00000650428/ENSG00000105889, intron 1 of 2)	7	22725884	22732002	6119	1	ENSG00000136244	ENST00000404625	-27522	3569	IL6	interleukin 6
7	23074797	23075079	283	*	Distal Intergenic	7	23100375	23105702	5328	2	ENSG00000230658	ENST00000419813	30623	NA	NA	NA
7	23636941	23637886	946	*	Intron (ENST00000307471/ENSG00000169193, intron 3 of 3)	7	23619333	23622826	3494	1	ENSG00000227436	ENST00000432690	17608	NA	NA	NA
7	23780190	23780671	482	*	Intron (ENST00000355870/ENSG00000196335, intron 15 of 23)	7	23752803	23772274	19472	1	ENSG00000196335	ENST00000478321	27387	56164	STK31	serine/threonine kinase 31
