seqnames	start	end	width	strand	name	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
22	38705398	38705798	401	*	6842	0	Promoter (<=1kb)	22	38705742	38716867	11126	1	ENSG00000100226	ENST00000484657	0	9567	GTPBP1	GTP binding protein 1
22	38348168	38348568	401	*	6831	0	Intron (ENST00000400206/ENSG00000283900, intron 4 of 14)	22	38336337	38344434	8098	2	ENSG00000291015	ENST00000428606	-3734	NA	NA	NA
2	10493607	10494007	401	*	5227	0	Distal Intergenic	2	10453798	10457693	3896	1	ENSG00000257135	ENST00000670859	39809	NA	NA	NA
2	43130972	43131372	401	*	5422	0	Promoter (1-2kb)	2	43096176	43132480	36305	2	ENSG00000230587	ENST00000663868	1108	NA	NA	NA
7	1520607	1521007	401	*	8821	0	Distal Intergenic	7	1530702	1543043	12342	1	ENSG00000198517	ENST00000343242	-9695	7975	MAFK	MAF bZIP transcription factor K
22	35357929	35358329	401	*	6687	0	Distal Intergenic	22	35344186	35347983	3798	1	ENSG00000100284	ENST00000492723	13743	10043	TOM1	target of myb1 membrane trafficking protein
19	18380234	18380634	401	*	4779	0	Promoter (1-2kb)	19	18382170	18388935	6766	1	ENSG00000130513	ENST00000595973	-1536	9518	GDF15	growth differentiation factor 15
19	55352007	55352407	401	*	5171	0	Promoter (<=1kb)	19	55352007	55352168	162	2	ENSG00000160471	ENST00000588586	0	125965	COX6B2	cytochrome c oxidase subunit 6B2
4	474053	474453	401	*	7672	0	Promoter (<=1kb)	4	426789	474142	47354	2	ENSG00000182903	ENST00000506646	0	170960	ZNF721	zinc finger protein 721
2	44958883	44959283	401	*	5459	0	Intron (ENST00000425325/ENSG00000225156, intron 2 of 3)	2	44954664	44968762	14099	1	ENSG00000225156	ENST00000425325	4219	NA	NA	NA
14	103624847	103625247	401	*	3075	0	Intron (ENST00000557172/ENSG00000126214, intron 1 of 2)	14	103629177	103714249	85073	1	ENSG00000126214	ENST00000348520	-3930	3831	KLC1	kinesin light chain 1
2	74458168	74458568	401	*	5634	0	Promoter (<=1kb)	2	74458400	74460891	2492	1	ENSG00000239779	ENST00000393972	0	23559	WBP1	WW domain binding protein 1
6	44237411	44237811	401	*	8511	0	Distal Intergenic	6	44232056	44233591	1536	1	ENSG00000112759	ENST00000646878	5355	2030	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)
7	100586324	100586724	401	*	9257	0	Promoter (<=1kb)	7	100586328	100601117	14790	1	ENSG00000106336	ENST00000241071	0	26261	FBXO24	F-box protein 24
22	39090459	39090859	401	*	6857	0	Promoter (<=1kb)	22	39091061	39092859	1799	1	ENSG00000290922	ENST00000684966	-202	101927202	LOC101927202	uncharacterized LOC101927202
3	184334383	184334783	401	*	7545	0	Promoter (1-2kb)	3	184335926	184345033	9108	1	ENSG00000175182	ENST00000450976	-1143	131408	FAM131A	family with sequence similarity 131 member A
6	43923365	43923765	401	*	8497	0	Intron (ENST00000691600/ENSG00000289313, intron 1 of 1)	6	43891045	43938212	47168	1	ENSG00000289313	ENST00000691600	32320	100132354	LINC01512	long intergenic non-protein coding RNA 1512
1	32236117	32236517	401	*	257	0	3' UTR	1	32231657	32240247	8591	2	ENSG00000291132	ENST00000688488	3730	339483	MTMR9LP	myotubularin related protein 9 like, pseudogene
19	13169778	13170178	401	*	4657	0	Distal Intergenic	19	13157959	13158788	830	2	ENSG00000213253	ENST00000481802	-10990	NA	NA	NA
7	44200718	44201118	401	*	9005	0	Promoter (<=1kb)	7	44200959	44213876	12918	1	ENSG00000106636	ENST00000679020	0	10652	YKT6	YKT6 v-SNARE homolog
3	183925033	183925433	401	*	7528	0	Intron (ENST00000334444/ENSG00000114770, intron 29 of 29)	3	183895900	183910936	15037	2	ENSG00000233441	ENST00000454440	-14097	647265	CYP2AB1P	cytochrome P450 family 2 subfamily AB member 1, pseudogene
6	108967051	108967451	401	*	8581	0	Intron (ENST00000368972/ENSG00000118690, intron 16 of 16)	6	108959460	108965117	5658	1	ENSG00000118690	ENST00000481850	7591	84071	ARMC2	armadillo repeat containing 2
8	143970606	143971006	401	*	9809	0	Promoter (2-3kb)	8	143915153	143973529	58377	2	ENSG00000178209	ENST00000356346	2523	5339	PLEC	plectin
5	1171343	1171743	401	*	7819	0	Distal Intergenic	5	1175957	1178546	2590	2	ENSG00000249201	ENST00000505972	6803	101928857	TERLR1	TERT regulating lncRNA 1
22	30210365	30210765	401	*	6632	0	Distal Intergenic	22	30182818	30207195	24378	2	ENSG00000225676	ENST00000432360	-3170	105372988	LOC105372988	uncharacterized LOC105372988
22	35430863	35431263	401	*	6691	0	Distal Intergenic	22	35411439	35416672	5234	1	ENSG00000100297	ENST00000465557	19424	4174	MCM5	minichromosome maintenance complex component 5
2	25977838	25978238	401	*	5281	0	Promoter (2-3kb)	2	25954131	25980622	26492	2	ENSG00000084731	ENST00000475453	2384	3797	KIF3C	kinesin family member 3C
1	44803554	44803954	401	*	400	0	Promoter (<=1kb)	1	44803337	44804689	1353	1	ENSG00000173846	ENST00000461358	217	1263	PLK3	polo like kinase 3
19	12736828	12737228	401	*	4647	0	Promoter (<=1kb)	19	12737139	12748323	11185	1	ENSG00000198356	ENST00000591090	0	439	GET3	guided entry of tail-anchored proteins factor 3, ATPase
17	2218483	2218883	401	*	3844	0	Promoter (2-3kb)	17	2215482	2216015	534	2	ENSG00000236457	ENST00000413674	-2468	NA	NA	NA
6	108689226	108689626	401	*	8573	0	Distal Intergenic	6	108656346	108680751	24406	1	ENSG00000118689	ENST00000540898	32880	2309	FOXO3	forkhead box O3
3	194579244	194579644	401	*	7607	0	Distal Intergenic	3	194583991	194590260	6270	1	ENSG00000231770	ENST00000447982	-4347	NA	NA	NA
14	71241131	71241531	401	*	2919	0	Promoter (2-3kb)	14	71239946	71243572	3627	2	ENSG00000286423	ENST00000666109	2041	NA	NA	NA
19	7829741	7830141	401	*	4562	0	Promoter (<=1kb)	19	7830218	7864976	34759	1	ENSG00000142459	ENST00000538904	-77	115704	EVI5L	ecotropic viral integration site 5 like
22	30196143	30196543	401	*	6628	0	Intron (ENST00000432360/ENSG00000225676, intron 1 of 2)	22	30182818	30207195	24378	2	ENSG00000225676	ENST00000432360	10652	105372988	LOC105372988	uncharacterized LOC105372988
16	88764970	88765370	401	*	3797	0	Intron (ENST00000301015/ENSG00000103335, intron 1 of 50)	16	88715338	88785220	69883	2	ENSG00000103335	ENST00000301015	19850	9780	PIEZO1	piezo type mechanosensitive ion channel component 1 (Er blood group)
1	109263599	109263999	401	*	599	0	Promoter (1-2kb)	1	109265269	109266439	1171	1	ENSG00000143126	ENST00000459940	-1270	1952	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2
6	36441362	36441762	401	*	8415	0	Promoter (1-2kb)	6	36442767	36491143	48377	1	ENSG00000112078	ENST00000536244	-1005	222658	KCTD20	potassium channel tetramerization domain containing 20
2	47360903	47361303	401	*	5538	0	Promoter (1-2kb)	2	47359505	47359777	273	2	ENSG00000222685	ENST00000410753	-1126	106481749	RN7SKP119	RN7SK pseudogene 119
3	48595638	48596038	401	*	7245	0	Promoter (<=1kb)	3	48564073	48595329	31257	2	ENSG00000114270	ENST00000681320	-309	1294	COL7A1	collagen type VII alpha 1 chain
19	17859599	17859999	401	*	4757	0	Promoter (<=1kb)	19	17859910	17863319	3410	1	ENSG00000105640	ENST00000222247	0	6142	RPL18A	ribosomal protein L18a
2	101410732	101411132	401	*	5698	0	Intron (ENST00000428343/ENSG00000196460, intron 8 of 11)	2	101345550	101387503	41954	2	ENSG00000175874	ENST00000324768	-23229	200407	CREG2	cellular repressor of E1A stimulated genes 2
7	55065066	55065466	401	*	9087	0	Intron (ENST00000344576/ENSG00000146648, intron 1 of 15)	7	55109723	55211536	101814	1	ENSG00000146648	ENST00000450046	-44257	1956	EGFR	epidermal growth factor receptor
7	73894854	73895254	401	*	9136	0	Distal Intergenic	7	73861172	73865890	4719	1	ENSG00000175877	ENST00000426490	33682	135886	TMEM270	transmembrane protein 270
16	29944037	29944437	401	*	3578	0	Intron (ENST00000414689/ENSG00000149932, intron 1 of 5)	16	29940885	29973050	32166	1	ENSG00000149932	ENST00000414689	3152	124446	TMEM219	transmembrane protein 219
2	44167835	44168235	401	*	5444	0	Promoter (<=1kb)	2	44167969	44218537	50569	1	ENSG00000138032	ENST00000419807	0	5495	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B
2	9782135	9782535	401	*	5203	0	Distal Intergenic	2	9757496	9770341	12846	2	ENSG00000243491	ENST00000474667	-11794	NA	NA	NA
2	96505236	96505636	401	*	5674	0	Promoter (<=1kb)	2	96497646	96505345	7700	2	ENSG00000163121	ENST00000310865	0	93082	NEURL3	neuralized E3 ubiquitin protein ligase 3
2	26785677	26786077	401	*	5298	0	Promoter (<=1kb)	2	26786027	26794076	8050	1	ENSG00000115163	ENST00000472719	0	1058	CENPA	centromere protein A
11	62754094	62754494	401	*	1756	0	Promoter (<=1kb)	11	62750963	62754160	3198	2	ENSG00000185670	ENST00000394807	0	79842	ZBTB3	zinc finger and BTB domain containing 3
20	32155171	32155571	401	*	6163	0	Exon (ENST00000398022/ENSG00000101337, exon 13 of 18)	20	32159143	32167258	8116	1	ENSG00000101337	ENST00000495749	-3572	9777	TM9SF4	transmembrane 9 superfamily member 4
9	93159941	93160341	401	*	9938	0	Distal Intergenic	9	93147040	93148556	1517	1	ENSG00000203364	ENST00000366188	12901	NA	NA	NA
14	67619557	67619957	401	*	2880	0	Promoter (<=1kb)	14	67619920	67651708	31789	1	ENSG00000081181	ENST00000261783	0	384	ARG2	arginase 2
14	68685675	68686075	401	*	2899	0	Promoter (<=1kb)	14	68683411	68685565	2155	2	ENSG00000258623	ENST00000556919	-110	NA	NA	NA
16	23335949	23336349	401	*	3537	0	Intron (ENST00000569789/ENSG00000168447, intron 2 of 3)	16	23348592	23380803	32212	1	ENSG00000168447	ENST00000564275	-12243	6338	SCNN1B	sodium channel epithelial 1 subunit beta
10	70649576	70649976	401	*	1317	0	Intron (ENST00000697571/ENSG00000107719, intron 20 of 20)	10	70672506	70762441	89936	1	ENSG00000138316	ENST00000373207	-22530	140766	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14
7	101729382	101729782	401	*	9286	0	Distal Intergenic	7	101815904	102283958	468055	1	ENSG00000257923	ENST00000437600	-86122	1523	CUX1	cut like homeobox 1
12	52442764	52443164	401	*	2332	0	Distal Intergenic	12	52424070	52434371	10302	2	ENSG00000170454	ENST00000252245	-8393	9119	KRT75	keratin 75
16	70428032	70428432	401	*	3740	0	Intron (ENST00000342907/ENSG00000157350, intron 1 of 6)	16	70399083	70423073	23991	2	ENSG00000157350	ENST00000561708	-4959	6483	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
10	70656508	70656908	401	*	1318	0	Intron (ENST00000697571/ENSG00000107719, intron 20 of 20)	10	70672506	70762441	89936	1	ENSG00000138316	ENST00000373207	-15598	140766	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14
20	50423140	50423540	401	*	6405	0	Distal Intergenic	20	50429190	50429483	294	2	ENSG00000244376	ENST00000497504	5943	106481097	RN7SL636P	RNA, 7SL, cytoplasmic 636, pseudogene
2	111975020	111975420	401	*	5747	0	3' UTR	2	111997370	112003443	6074	1	ENSG00000153208	ENST00000473065	-21950	10461	MERTK	MER proto-oncogene, tyrosine kinase
9	111959596	111959996	401	*	10043	0	Distal Intergenic	9	111932100	111932169	70	1	ENSG00000266315	ENST00000582284	27496	100616114	MIR4668	microRNA 4668
2	111705734	111706134	401	*	5740	0	Intron (ENST00000643447/ENSG00000153107, intron 9 of 11)	2	111429324	111699033	269710	2	ENSG00000285016	ENST00000644013	-6701	NA	NA	NA
11	34302496	34302896	401	*	1653	0	Intron (ENST00000435224/ENSG00000166016, intron 1 of 16)	11	34335118	34336003	886	2	ENSG00000254708	ENST00000531489	33107	NA	NA	NA
16	23374752	23375152	401	*	3539	0	Intron (ENST00000343070/ENSG00000168447, intron 7 of 12)	16	23358202	23359379	1178	1	ENSG00000168447	ENST00000566647	16550	6338	SCNN1B	sodium channel epithelial 1 subunit beta
17	17028145	17028545	401	*	3938	0	Promoter (<=1kb)	17	17028360	17035057	6698	1	ENSG00000287114	ENST00000659709	0	NA	NA	NA
14	74620532	74620932	401	*	2948	0	Distal Intergenic	14	74614807	74616647	1841	2	ENSG00000258976	ENST00000555313	-3885	NA	NA	NA
8	100458654	100459054	401	*	9577	0	Intron (ENST00000664475/ENSG00000253824, intron 1 of 1)	8	100380486	100464613	84128	2	ENSG00000253824	ENST00000664475	5559	NA	NA	NA
4	2798637	2799037	401	*	7704	0	Promoter (<=1kb)	4	2798998	2827652	28655	1	ENSG00000087266	ENST00000508385	0	6452	SH3BP2	SH3 domain binding protein 2
22	35602265	35602665	401	*	6695	0	Promoter (2-3kb)	22	35603958	35604880	923	2	ENSG00000288777	ENST00000686429	2215	NA	NA	NA
11	34234012	34234412	401	*	1649	0	Intron (ENST00000435224/ENSG00000166016, intron 1 of 16)	11	34173174	34242545	69372	2	ENSG00000166016	ENST00000530814	8133	25841	ABTB2	ankyrin repeat and BTB domain containing 2
17	49764159	49764559	401	*	4181	0	Promoter (<=1kb)	17	49717657	49764131	46475	2	ENSG00000121104	ENST00000506156	-28	81558	FAM117A	family with sequence similarity 117 member A
3	12759164	12759564	401	*	7101	0	Promoter (<=1kb)	3	12733528	12759259	25732	2	ENSG00000088726	ENST00000314124	0	55287	TMEM40	transmembrane protein 40
19	48543283	48543683	401	*	5088	0	Distal Intergenic	19	48552172	48599423	47252	1	ENSG00000088002	ENST00000201586	-8489	6820	SULT2B1	sulfotransferase family 2B member 1
11	73309176	73309576	401	*	2056	0	Promoter (<=1kb)	11	73307235	73309361	2127	2	ENSG00000257038	ENST00000546324	0	100287837	ARHGEF17-AS1	ARHGEF17 antisense RNA 1
4	687177	687577	401	*	7676	0	Promoter (<=1kb)	4	681862	687325	5464	2	ENSG00000169026	ENST00000503156	0	84179	SLC49A3	solute carrier family 49 member 3
1	155961956	155962356	401	*	811	0	Promoter (<=1kb)	1	155952803	155961957	9155	2	ENSG00000116584	ENST00000470975	0	9181	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2
16	57304202	57304602	401	*	3631	0	Distal Intergenic	16	57321352	57322117	766	1	ENSG00000260965	ENST00000569211	-16750	106480337	RPL23AP91	ribosomal protein L23a pseudogene 91
2	110101325	110101725	401	*	5724	0	Intron (ENST00000272462/ENSG00000144063, intron 1 of 3)	2	110085712	110115821	30110	2	ENSG00000144063	ENST00000424988	14096	7851	MALL	mal, T cell differentiation protein like
1	43523108	43523508	401	*	361	0	Promoter (1-2kb)	1	43525187	43553519	28333	1	ENSG00000142949	ENST00000496043	-1679	5792	PTPRF	protein tyrosine phosphatase receptor type F
2	27489541	27489941	401	*	5322	0	Promoter (<=1kb)	2	27444377	27489743	45367	2	ENSG00000138002	ENST00000260570	0	26160	IFT172	intraflagellar transport 172
2	45173504	45173904	401	*	5464	0	Promoter (<=1kb)	2	45173722	45175935	2214	1	ENSG00000286519	ENST00000663266	0	NA	NA	NA
2	110741555	110741955	401	*	5730	0	Intron (ENST00000676595/ENSG00000153093, intron 1 of 18)	2	110732855	110793700	60846	1	ENSG00000153093	ENST00000448863	8700	55289	ACOXL	acyl-CoA oxidase like
1	93804360	93804760	401	*	544	0	Intron (ENST00000370244/ENSG00000137936, intron 2 of 13)	1	93752924	93775444	22521	2	ENSG00000137936	ENST00000433544	-28916	8412	BCAR3	BCAR3 adaptor protein, NSP family member
7	55052109	55052509	401	*	9085	0	Intron (ENST00000344576/ENSG00000146648, intron 1 of 15)	7	55019151	55119401	100251	1	ENSG00000146648	ENST00000463948	32958	1956	EGFR	epidermal growth factor receptor
19	35162966	35163366	401	*	4825	0	Promoter (<=1kb)	19	35164035	35169881	5847	1	ENSG00000089327	ENST00000392217	-669	53827	FXYD5	FXYD domain containing ion transport regulator 5
6	44452742	44453142	401	*	8513	0	Distal Intergenic	6	44435641	44435722	82	1	ENSG00000266619	ENST00000583943	17101	100616352	MIR4642	microRNA 4642
1	42165655	42166055	401	*	327	0	Promoter (<=1kb)	1	42162690	42164745	2056	2	ENSG00000197273	ENST00000357001	-910	2980	GUCA2A	guanylate cyclase activator 2A
