"","seqnames","start","end","width","strand","Conc","Conc_treated","Conc_untreated","Fold","p.value","FDR"
"33007","9",124054683,124055083,401,"*",5.46694886543373,6.46694886543373,0,8.0294898165242,1.19193268022636e-12,1.08365267545734e-08
"18103","2",222572343,222572743,401,"*",5.45014384851034,6.45014384851034,0,8.01060976031019,1.45177258783769e-12,1.08365267545734e-08
"18101","2",222470766,222471166,401,"*",5.40754921755008,6.40754921755008,0,7.96157980339223,2.49755945540205e-12,1.08365267545734e-08
"16410","2",72138381,72138781,401,"*",5.32947387048528,6.32947387048528,0,7.88850004668613,4.19106116890372e-12,1.08365267545734e-08
"22197","3",177478488,177478888,401,"*",5.26766138401851,6.26766138401851,0,7.84056977584561,4.87892242725298e-12,1.08365267545734e-08
"22679","3",196135896,196136296,401,"*",5.28223525208278,6.28223525208278,0,7.85033586048983,4.96044597788986e-12,1.08365267545734e-08
"15216","2",10493606,10494006,401,"*",5.4319482137981,0,6.4319482137981,-7.91264667422086,5.00829838122369e-12,1.08365267545734e-08
"26300","6",11609399,11609799,401,"*",5.23901154291455,6.23901154291455,0,7.8120481275125,6.40156965379875e-12,1.09667848494022e-08
"27745","6",137657513,137657913,401,"*",5.25824184269679,6.25824184269679,0,7.82253734993769,6.61799698326868e-12,1.09667848494022e-08
"27689","6",134537112,134537512,401,"*",5.2227431526144,6.2227431526144,0,7.79500210266849,7.24071362036324e-12,1.09667848494022e-08
"18154","2",223861401,223861801,401,"*",5.27779769870886,6.27779769870886,0,7.82983834261466,8.07581246543706e-12,1.11196596001372e-08
"28249","7",1520623,1521023,401,"*",5.31094111486622,0,6.31094111486622,-7.80359663285678,9.25473512107394e-12,1.13827301596623e-08
"31431","8",118112953,118113353,401,"*",5.16663071619938,6.16663071619938,0,7.74284975519181,1.0429181676827e-11,1.13827301596623e-08
"13157","17",72339075,72339475,401,"*",5.19203924458984,6.19203924458984,0,7.76004268271717,1.0521472483512e-11,1.13827301596623e-08
"27796","6",139436393,139436793,401,"*",5.14585563509294,6.14585563509294,0,7.72078474807066,1.27748669568111e-11,1.21732729455472e-08
"27855","6",144216169,144216569,401,"*",5.18374718644225,6.18374718644225,0,7.74593824565791,1.3163331318641e-11,1.21732729455472e-08
"15354","2",18991542,18991942,401,"*",5.25648121314215,6.25648121314215,0,7.79536626210843,1.44319352080492e-11,1.21732729455472e-08
