"","CHR","START","END","SRR5800657","SRR5800658","SRR5800659","SRR5800660","SRR5800661","SRR5800662"
"1","1",502462,502862,14.8319729466347,17.3269934603154,6.63105772624523,0,0,0.908124776534905
"2","1",633828,634228,0,0,0,0,0,0
"3","1",778495,778895,0,0,0,0,0,0
"4","1",827293,827693,0,0,0,0,0,0
"5","1",904526,904926,13.5959752010818,3.30037970672675,5.68376376535305,0,4.3198616498017,6.35687343574433
"6","1",906748,907148,16.0679706921876,23.1026579470872,14.2094094133826,0,10.7996541245043,0
"7","1",911146,911546,21.0119616743991,15.6768036069521,24.6296429831966,2.23166736330521,7.55975788715298,16.3462459776283
"8","1",966210,966610,0,0,0,30.1275094046203,7.55975788715298,10.8974973184189
"9","1",976019,976419,34.6079368754809,29.7034173605407,7.57835168713741,20.0850062697468,7.55975788715298,38.141240614466
"10","1",1000008,1000408,0,0,0,0,0,6.35687343574433
"11","1",1006456,1006856,23.4839571655049,27.2281325804957,10.4202335698139,15.6216715431364,9.71968871205383,27.2437432960471
"12","1",1013245,1013645,8.65198421887024,21.4524680937239,0,21.2008399513994,17.2794465992068,33.6006167317915
"13","1",1024640,1025040,3.70799323665867,8.25094926681687,0,6.69500208991562,5.39982706225213,0
"14","1",1064062,1064462,0,0,0,20.0850062697468,21.5993082490085,29.059992849117
"15","1",1070203,1070603,24.7199549110578,19.8022782403605,7.57835168713741,17.8533389064416,1.07996541245043,21.7949946368377
"16","1",1073719,1074119,0,0,0,0,0,0
"17","1",1079423,1079823,85.2838444431495,20.6273731670422,27.4715248658731,54.6758504009775,53.9982706225213,83.5474794412113
"18","1",1116042,1116442,0,0,0,0,0,5.44874865920943
"19","1",1157392,1157792,12.3599774555289,0,0,12.2741704981786,32.3989623735128,29.9681176256519
"20","1",1162629,1163029,0,0,0,26.7800083596625,0,0
"21","1",1164728,1165128,1.23599774555289,3.30037970672675,0,0,0,0
"22","1",1231880,1232280,0,0,0,0,0,0
"23","1",1238137,1238537,0,0,0,17.8533389064416,11.8796195369547,19.070620307233
