seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
1	199203	200022	820	*	Distal Intergenic	1	185217	195411	10195	2	ENSG00000279457	ENST00000623083	-3792	NA	NA	NA
1	1024701	1025168	468	*	Intron (ENST00000379370/ENSG00000188157, intron 2 of 35)	1	1020123	1056118	35996	1	ENSG00000188157	ENST00000620552	4578	375790	AGRN	agrin
14	91510210	91510901	692	*	Promoter (<=1kb)	14	91457508	91510310	52803	2	ENSG00000100796	ENST00000554943	0	55671	PPP4R3A	protein phosphatase 4 regulatory subunit 3A
14	92472037	92472254	218	*	Intron (ENST00000393265/ENSG00000140090, intron 12 of 16)	14	92452766	92496252	43487	1	ENSG00000140090	ENST00000526482	19271	123041	SLC24A4	solute carrier family 24 member 4
14	92609237	92609696	460	*	Intron (ENST00000216487/ENSG00000100599, intron 3 of 9)	14	92615473	92645190	29718	1	ENSG00000100599	ENST00000554888	-5777	79890	RIN3	Ras and Rab interactor 3
1	67376409	67376692	284	*	Intron (ENST00000262345/ENSG00000081985, intron 12 of 15)	1	67379928	67395763	15836	1	ENSG00000081985	ENST00000465396	-3236	3595	IL12RB2	interleukin 12 receptor subunit beta 2
14	92748356	92748862	507	*	Promoter (<=1kb)	14	92703807	92748612	44806	2	ENSG00000100600	ENST00000555699	0	5641	LGMN	legumain
14	92793754	92794690	937	*	Promoter (<=1kb)	14	92794305	92839947	45643	1	ENSG00000066455	ENST00000163416	0	9950	GOLGA5	golgin A5
14	92927313	92927689	377	*	Promoter (1-2kb)	14	92926101	92927589	1489	1	ENSG00000100604	ENST00000556098	1212	1113	CHGA	chromogranin A
14	92946245	92946758	514	*	Exon (ENST00000354313/ENSG00000100605, exon 10 of 11)	14	92931677	92933255	1579	1	ENSG00000100604	ENST00000556876	14568	1113	CHGA	chromogranin A
14	93072612	93073072	461	*	Intron (ENST00000354313/ENSG00000100605, intron 3 of 10)	14	93067452	93072152	4701	1	ENSG00000258730	ENST00000553639	5160	319085	ITPK1-AS1	ITPK1 antisense RNA 1
14	94026186	94026452	267	*	Promoter (<=1kb)	14	94026340	94048930	22591	1	ENSG00000089723	ENST00000203664	0	78990	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2
14	94081136	94081400	265	*	Promoter (<=1kb)	14	94048287	94081202	32916	2	ENSG00000089737	ENST00000621632	0	57062	DDX24	DEAD-box helicase 24
14	95260518	95260897	380	*	5' UTR	14	95213225	95296243	83019	2	ENSG00000165959	ENST00000555336	35346	79789	CLMN	calmin
14	95265176	95265999	824	*	Intron (ENST00000298912/ENSG00000165959, intron 1 of 12)	14	95213225	95296243	83019	2	ENSG00000165959	ENST00000555336	30244	79789	CLMN	calmin
14	95468663	95469188	526	*	Promoter (<=1kb)	14	95437802	95467856	30055	2	ENSG00000176438	ENST00000555759	-807	161176	SYNE3	spectrin repeat containing nuclear envelope family member 3
1	67439253	67439816	564	*	Distal Intergenic	1	67407810	67430415	22606	2	ENSG00000142864	ENST00000370994	-8838	26135	SERBP1	SERPINE1 mRNA binding protein 1
14	95507176	95507537	362	*	Intron (ENST00000682763/ENSG00000176438, intron 1 of 17)	14	95516136	95517911	1776	1	ENSG00000258572	ENST00000554161	-8599	101929107	SYNE3-AS1	SYNE3 antisense RNA 1
14	95534333	95535140	808	*	Promoter (<=1kb)	14	95535050	95544714	9665	1	ENSG00000182512	ENST00000331334	0	51218	GLRX5	glutaredoxin 5
14	95547291	95547597	307	*	Distal Intergenic	14	95535274	95544724	9451	1	ENSG00000182512	ENST00000557731	12017	51218	GLRX5	glutaredoxin 5
14	95547711	95548019	309	*	Distal Intergenic	14	95535274	95544724	9451	1	ENSG00000182512	ENST00000557731	12437	51218	GLRX5	glutaredoxin 5
14	95561008	95561254	247	*	Distal Intergenic	14	95573520	95578688	5169	1	ENSG00000258390	ENST00000659262	-12266	100506999	LINC02318	long intergenic non-protein coding RNA 2318
