seqnames	start	end	width	strand	name	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
2	10493606	10494006	401	*	15216	0	Distal Intergenic	2	10453798	10457693	3896	1	ENSG00000257135	ENST00000670859	39808	NA	NA	NA
7	1520623	1521023	401	*	28249	0	Distal Intergenic	7	1530702	1543043	12342	1	ENSG00000198517	ENST00000343242	-9679	7975	MAFK	MAF bZIP transcription factor K
7	101729397	101729797	401	*	29692	0	Distal Intergenic	7	101815904	102283958	468055	1	ENSG00000257923	ENST00000437600	-86107	1523	CUX1	cut like homeobox 1
2	43130972	43131372	401	*	15878	0	Promoter (1-2kb)	2	43096176	43132480	36305	2	ENSG00000230587	ENST00000663868	1108	NA	NA	NA
2	74458154	74458554	401	*	16453	0	Promoter (<=1kb)	2	74458400	74460891	2492	1	ENSG00000239779	ENST00000393972	0	23559	WBP1	WW domain binding protein 1
7	100586301	100586701	401	*	29663	0	Promoter (<=1kb)	7	100586328	100601117	14790	1	ENSG00000106336	ENST00000241071	0	26261	FBXO24	F-box protein 24
22	35357929	35358329	401	*	19914	0	Distal Intergenic	22	35344186	35347983	3798	1	ENSG00000100284	ENST00000492723	13743	10043	TOM1	target of myb1 membrane trafficking protein
19	55352019	55352419	401	*	14965	0	Promoter (<=1kb)	19	55352007	55352168	162	2	ENSG00000160471	ENST00000588586	0	125965	COX6B2	cytochrome c oxidase subunit 6B2
2	25977823	25978223	401	*	15513	0	Promoter (2-3kb)	2	25954131	25980622	26492	2	ENSG00000084731	ENST00000475453	2399	3797	KIF3C	kinesin family member 3C
19	18380251	18380651	401	*	14291	0	Promoter (1-2kb)	19	18382170	18388935	6766	1	ENSG00000130513	ENST00000595973	-1519	9518	GDF15	growth differentiation factor 15
14	103624847	103625247	401	*	10255	0	Intron (ENST00000557172/ENSG00000126214, intron 1 of 2)	14	103629177	103714249	85073	1	ENSG00000126214	ENST00000348520	-3930	3831	KLC1	kinesin light chain 1
22	39090444	39090844	401	*	20076	0	Promoter (<=1kb)	22	39091061	39092859	1799	1	ENSG00000290922	ENST00000684966	-217	101927202	LOC101927202	uncharacterized LOC101927202
4	474049	474449	401	*	22737	0	Promoter (<=1kb)	4	425815	474051	48237	2	ENSG00000182903	ENST00000515578	0	170960	ZNF721	zinc finger protein 721
2	44958890	44959290	401	*	15926	0	Intron (ENST00000425325/ENSG00000225156, intron 2 of 3)	2	44954664	44968762	14099	1	ENSG00000225156	ENST00000425325	4226	NA	NA	NA
7	44200713	44201113	401	*	28979	0	Promoter (<=1kb)	7	44200959	44213876	12918	1	ENSG00000106636	ENST00000679020	0	10652	YKT6	YKT6 v-SNARE homolog
